storm_within_300km,rain_3day,api_k_0_90,duration_above_90,area_above_90,tp_6h_max_mm,RH2M,WS2M,storm_max_wind_kt
0,0.2984707863956994,12.239372698840322,0,0.0,0.2898582278182014,50.06,2.61,0
0,0.2162690616602101,4.426617167374101,0,0.0,0.1445463012401918,52.27,1.97,0
0,3.957621703067755,12.666840016607296,0,0.0,0.8078064394565811,77.03,1.26,0
0,1.9056055344971847,8.19077617692545,0,0.0,0.7585596822226969,88.88,1.34,0
0,0.0169185942462434,4.691760302095614,0,0.0,0.005711963194853,48.98,2.4,0
0,0.8382915771178634,7.47829982544405,0,0.0,0.0649119037067122,86.98,0.99,0
0,0.1571742443342235,16.345026067103056,0,0.0,0.0888463469849995,49.89,1.97,0
0,0.2878078242810284,16.520268474352914,0,0.0,0.0647917341095643,81.32,1.25,25
0,1.4447415420187484,13.396992163258725,0,0.0,0.7414406413150989,51.66,2.65,0
0,1.7673799779141486,14.293552131512843,0,0.0,0.2295922601345168,59.57,2.8,0
0,0.73630840155954,10.65432597003278,0,0.0,0.1993699415459416,75.45,1.89,0
0,1.1292505398444446,12.33621551268128,0,0.0,0.0024665807815386,60.18,2.37,0
0,4.777917998563408,10.25058754093506,0,0.0,1.4985761083520002,61.36,2.13,0
0,0.0030977393361499,9.672376026525583,0,0.0,0.0026552051452713,57.18,1.62,60
0,0.005843306239133,9.628258011954516,0,0.0,0.0050213461394687,66.9,1.37,0
0,1.952370833236352,7.324033727012611,0,0.0,0.3304838617393766,72.11,1.9,0
0,1.792765454981838,14.411825821138752,0,0.0,0.8052301943835021,61.3,2.09,0
0,0.0194153486221556,5.205494644179682,0,0.0,0.0054210438382624,49.09,1.96,0
0,3.627140719393825,8.769823981159824,0,0.0,0.6153785998871472,64.21,2.11,0
0,0.9002720769658917,11.741035397294066,0,0.0,0.0217692754273505,66.89,1.44,0
0,2.688352375842008,8.930997418620542,0,0.0,0.501173399153665,75.56,1.56,0
0,2.9434264878049943,14.698642097318492,0,0.0,2.2142985623277824,51.75,2.02,0
0,0.0164387679695922,5.777859555934911,0,0.0,0.0044611609786422,50.21,2.08,0
0,1.4021870320673362,11.743275778095065,0,0.0,1.1955993527344717,64.86,2.91,0
0,2.622037410263747,12.974512454088073,0,0.0,1.026688883379196,53.01,3.11,0
0,2.4789433934733176,10.35126734022029,0,0.0,0.6981862857950869,87.54,1.31,0
